Mh,Price
129,84970
135,76381
432,351899
376,349171
348,297341
330,261878
282,261878
258,226416
210,182769
282,180041
275,150035
215,140000
192,139123
200,138999
184,136395
182,136000
180,133290
194,133667
201,130570
200,129575
185,128000
200,125130
170,125000
200,122728
190,122728
180,120028
190,119250
165,117300
190,117300
177,117300
180,117272
180,114572
175,111844
180,110000
165,109116
180,109116
187,109116
180,109116
185,109000
180,108999
172,106388
167,106388
180,105000
137,96000
183,85000
129,84970
150,81837
130,81837
125,81837
129,81837
135,76381
117,70898
120,68198
104,64106
275,150035
200,138999
100,54000
